y,x1,x2,x3,x4,x5
271.8,783.35,33.53,40.55,16.66,13.2
264,748.45,36.5,36.19,16.46,14.11
238.8,684.45,34.66,37.31,17.66,15.68
230.7,827.8,33.13,32.52,17.5,10.53
263.9,909.45,34.6,34.85,16.06,11.96
266.5,905.55,35.38,35.89,15.93,12.58
229.1,756,35.85,33.53,16.6,10.66
239.3,769.35,35.68,33.79,16.41,10.85
258,793.5,35.35,34.72,16.17,11.41
257.6,801.65,35.04,35.22,15.92,11.91
267.3,819.65,34.07,36.5,16.04,12.85
267,808.55,32.2,37.6,16.19,13.58
196,638.1,34.11,36.76,18.53,16.41
278.7,774.55,34.79,34.62,15.54,13.1
272.3,757.9,35.77,35.4,15.7,13.63
267.4,753.35,36.44,35.96,16.45,14.51
254.5,704.7,37.82,36.26,17.62,15.38
224.7,666.8,35.07,36.34,18.12,16.1
181.5,568.55,35.26,35.9,19.05,16.73
227.5,653.1,35.56,31.84,16.51,10.58
